case,input_namelist,source_artifact,best_log_length,best_matrix_relative_frobenius_error,best_matrix_max_abs_error,reference_n_x,candidate_n_x,reference_active_size,best_active_size,active_dof_reduction,active_dof_reduction_fraction,reference_total_size,best_total_size,total_dof_reduction,total_dof_reduction_fraction,candidate_max_residual_norm,candidate_max_relative_residual_norm,reference_max_residual_norm,reference_max_relative_residual_norm,residual_gate_pass,mapped_classification,mapped_useful,mapped_negative,solver_kinds,solve_methods
mapped_xgrid_transport_evidence_rhsmode2_tiny,tests/ref/transportMatrix_PAS_tiny_rhsMode2_scheme2.input.namelist,docs/_static/mapped_xgrid_transport_evidence_rhsmode2_tiny.json,0.0,0.6942275967706594,2.27111628619444,5,3,2435,1461,974,0.4,2435,1461,974,0.4,8.002073884900729e-15,3.6852296144703905e-12,1.6094253419066994e-14,1.7430130344196438e-12,True,negative,False,True,dense,dense
reduced_pas_tokamak_rhsmode2,tests/reduced_inputs/tokamak_1species_PASCollisions_noEr.input.namelist,docs/_static/mapped_xgrid_transport_evidence_reduced_pas_tokamak_rhsmode2.json,0.5,0.05547580228546948,2.435482537280663,13,7,1058,557,501,0.4735349716446125,1443,777,666,0.46153846153846156,1.4430589562365452e-14,1.0064074846169359e-13,1.4440285168296266e-14,2.1702130821430237e-13,True,useful,True,False,dense,dense
