log_length,moment_objective,moment_loss,regularization_loss,matrix_relative_frobenius_error,matrix_max_abs_error,max_residual_norm,max_relative_residual_norm,total_elapsed_time_s,total_size,active_size,active_fraction,n_x,use_active_dof_mode,solver_kinds,solve_methods,min_dx,width_ratio,smoothness,jac_roughness,tail_mass_proxy,reference_total_size,reference_active_size,reference_active_fraction,reference_n_x,reference_max_residual_norm,reference_max_relative_residual_norm,reference_total_elapsed_time_s
-1.0,0.039961807656956734,0.039961807656956734,0.0,0.1907474779667895,8.376538552400888,4.972607126742237e-15,9.080589297166532e-13,0.4348028200523307,777,447,0.5752895752895753,7,True,dense,dense,0.04499316276914234,258.0413111543764,0.7705780581971322,15.116678089167381,6.237367346376464e-87,1443,1058,0.7331947331947332,13,1.4440285168296266e-14,2.1702130821430237e-13,0.47154298587702215
-0.5,0.014137932837331958,0.014137932837331958,0.0,0.3758777670085721,16.506930010014692,8.614041321391698e-15,5.136932880686615e-13,0.33668198638285196,777,480,0.6177606177606177,7,True,dense,dense,0.07418118449355807,258.0413111543764,0.770578058197132,15.11667808916738,4.6829397709013504e-235,1443,1058,0.7331947331947332,13,1.4440285168296266e-14,2.1702130821430237e-13,0.47154298587702215
0.0,0.008677023500930917,0.008677023500930917,0.0,0.10656835632299136,4.67919366551066,9.557692697922994e-15,2.305062405971944e-13,0.33096030595091486,777,524,0.6743886743886743,7,True,dense,dense,0.12230409676025972,258.04131115437633,0.770578058197132,15.116678089167381,0.0,1443,1058,0.7331947331947332,13,1.4440285168296266e-14,2.1702130821430237e-13,0.47154298587702215
0.5,0.013406278188822876,0.013406278188822876,0.0,0.05547580228546948,2.435482537280663,1.4430589562365452e-14,1.0064074846169359e-13,0.3124839721713215,777,557,0.7168597168597168,7,True,dense,dense,0.20164536582240683,258.0413111543764,0.770578058197132,15.11667808916738,0.0,1443,1058,0.7331947331947332,13,1.4440285168296266e-14,2.1702130821430237e-13,0.47154298587702215
1.0,0.03018153416331547,0.03018153416331547,0.0,0.22042167914786137,9.679286809455014,9.43444474177021e-15,3.579297337193842e-14,0.27713051345199347,777,601,0.7734877734877735,7,True,dense,dense,0.33245700376951076,258.04131115437644,0.7705780581971323,15.116678089167387,0.0,1443,1058,0.7331947331947332,13,1.4440285168296266e-14,2.1702130821430237e-13,0.47154298587702215
